316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
CONQUEST II-10,CESSNA,Turboprop,Yes,1978,1986,1978-1986,No,38,46,1,"35,000","4,290",13.10,49.30,39.00,"25,187",4.40,4.70,14.40,297.8,77,8.5,"1,463",302,8,"$1,356,000","$1,105,645",1.3,138,$0,$758.42,0.0,0,$0,"$355,880","$682,578","$226,354","$1,038,458","$499,534","$4,104,025","$2,998,379","$2,089,422",1.44,"$908,958",13.59,39.42,1.70,28.05,45.54,3.51,42.48,56.80,5.31,41.23,8.04,5.15,32.42,4.05,"$2,307.68",$288.46,$7.64,$0.96,"$1,516.84",$189.61,$5.02,$0.63
CITATION 500,CESSNA,Business Jet,Yes,1972,1976,1972-1976,No,48,52,2,"41,000","3,851",14.30,47.10,43.60,"29,366",4.40,4.92,12.80,277.1,57,10.6,911,332,5,"$345,000","$281,304",1.2,125,$0,"$1,331.90",0.0,0,$0,"$475,425","$1,198,710","$361,592","$1,674,135","$707,017","$3,943,782","$3,662,478","$3,337,773",1.10,"$324,705",11.88,33.55,2.38,43.29,76.62,8.66,55.08,74.24,11.02,63.29,12.39,12.66,43.32,8.66,"$3,720.30",$744.06,$11.21,$2.24,"$2,663.80",$532.76,$8.02,$1.60
CONQUEST II-8,CESSNA,Turboprop,Yes,1978,1986,1978-1986,No,38,46,1,"35,000","4,290",13.10,49.30,39.00,"25,187",4.40,4.70,14.40,297.8,77,8.5,"1,170",291,6,"$1,356,000","$1,105,645",1.4,143,$0,$683.44,0.0,0,$0,"$355,880","$615,096","$211,686","$970,976","$484,866","$4,030,686","$2,925,041","$1,954,028",1.50,"$971,013",13.85,40.32,2.31,34.45,58.59,5.74,49.45,66.45,8.24,37.87,7.38,6.31,36.91,6.15,"$2,157.72",$359.62,$7.41,$1.24,"$1,366.88",$227.81,$4.70,$0.78
MU-2 SOLITAIRE,MITSUBISHI,Turboprop,Yes,1979,1985,1979-1985,No,39,45,1,"31,000","3,432",13.80,39.20,39.50,"21,368",4.40,4.91,8.10,175.0,43,12.2,856,303,7,"$1,250,000","$1,019,216",1.3,137,$0,$925.28,0.0,0,$0,"$351,568","$832,752","$275,243","$1,184,320","$544,111","$4,201,338","$3,182,122","$2,540,703",1.25,"$641,419",13.87,40.37,1.98,49.08,88.43,7.01,64.40,87.12,9.20,51.32,10.03,7.33,48.58,6.94,"$2,631.82",$375.97,$8.69,$1.24,"$1,850.56",$264.37,$6.11,$0.87
MU-2 MARQUISE,MITSUBISHI,Turboprop,Yes,1979,1985,1979-1985,No,39,45,1,"31,000","3,315",13.80,39.20,39.50,"21,368",4.40,4.91,16.10,347.8,44,6.1,975,289,7,"$1,022,000","$833,311",1.4,144,$0,$925.78,0.0,0,$0,"$356,568","$833,202","$288,732","$1,189,770","$562,600","$4,023,691","$3,190,380","$2,665,221",1.20,"$525,158",13.92,40.56,1.99,41.27,72.49,5.90,56.53,76.23,8.08,51.56,10.08,7.37,43.16,6.17,"$2,643.93",$377.70,$9.15,$1.31,"$1,851.56",$264.51,$6.41,$0.92
KING AIR C90 XP135A,BEECH,Turboprop,Yes,1971,2024,1971-2024,Yes,0,53,1,"30,000","4,406",14.30,50.20,35.50,"25,484",4.90,4.60,12.40,279.5,48,9.1,721,270,5,"$817,000","$666,159",1.5,154,$0,$881.50,0.0,0,$0,"$360,880","$793,350","$294,269","$1,154,230","$572,449","$3,830,084","$3,163,924","$2,716,326",1.16,"$447,598",14.19,41.46,2.84,53.12,96.67,10.62,69.07,93.58,13.81,50.02,9.78,10.00,51.68,10.34,"$2,564.96",$512.99,$9.50,$1.90,"$1,763.00",$352.60,$6.53,$1.31
LEARJET 31,BOMBARDIER,Business Jet,Yes,1988,1991,1988-1991,No,33,36,2,"51,000","4,485",12.30,43.80,48.70,"26,237",4.40,4.92,12.92,279.7,30,9.4,"1,181",441,6,"$600,000","$489,224",0.9,94,$0,"$1,441.10",0.0,0,$0,"$486,392","$1,296,990","$294,538","$1,783,382","$650,930","$3,965,425","$3,476,202","$2,718,810",1.28,"$757,392",8.99,23.65,1.50,33.58,56.81,5.60,40.23,53.69,6.70,51.83,10.13,8.64,31.91,5.32,"$3,963.07",$660.51,$8.99,$1.50,"$2,882.20",$480.37,$6.54,$1.09
MERLIN 300/IIIC,FAIRCHILD,Turboprop,Yes,1982,1986,1982-1986,No,38,42,2,"31,000","4,972",16.91,46.30,42.20,"33,040",4.90,5.20,17.40,443.4,105,7.5,"1,257",284,8,"$681,000","$555,269",1.4,146,$0,"$1,163.28",0.0,0,$0,"$359,568","$1,046,952","$369,191","$1,406,520","$646,059","$4,037,027","$3,481,758","$3,407,919",1.02,"$73,840",14.21,41.57,1.78,32.12,53.83,4.01,47.70,64.02,5.96,66.14,12.96,8.27,38.49,4.81,"$3,125.60",$390.70,$11.01,$1.38,"$2,326.56",$290.82,$8.19,$1.02
LEARJET 36A,BOMBARDIER,Business Jet,Yes,1976,1984,1976-1984,No,40,48,2,"45,000","5,167",12.20,39.50,48.70,"23,469",4.40,4.92,10.60,229.5,27,10.2,"2,364",436,4,"$450,000","$366,918",0.9,95,$0,"$1,617.58",0.0,0,$0,"$484,692","$1,455,822","$334,399","$1,940,514","$689,091","$3,978,536","$3,611,619","$3,086,758",1.17,"$524,860",9.13,24.11,2.28,16.83,22.65,4.21,23.38,30.38,5.84,59.04,11.56,14.76,20.97,5.24,"$4,312.25","$1,078.06",$9.89,$2.47,"$3,235.16",$808.79,$7.42,$1.86
VISION SF50,CIRRUS,Business Jet,No,2015,2019,2015-2019,Yes,5,9,1,"31,000","3,250",10.90,38.70,30.70,"12,950",4.00,5.00,11.50,230.0,25,5.6,730,295,5,"$1,869,000","$1,523,932",1.4,141,$0,$761.60,0.0,0,$0,"$316,376","$685,440","$232,697","$1,001,816","$419,073","$4,309,432","$2,785,501","$2,147,970",1.30,"$637,531",14.61,42.91,2.92,59.03,108.72,11.81,75.82,102.92,15.16,44.50,8.69,8.90,55.80,11.16,"$2,226.26",$445.25,$7.55,$1.51,"$1,523.20",$304.64,$5.16,$1.03
CHEYENNE 400 LS,PIPER,Turboprop,Yes,1984,1991,1984-1991,No,33,40,1,"41,000","3,656",17.00,47.70,43.40,"35,193",4.40,4.20,18.10,334.5,47,10.5,"1,112",329,6,"$1,295,000","$1,055,908",1.2,126,$0,"$1,294.54",0.0,0,$0,"$360,880","$1,165,086","$354,654","$1,525,966","$632,834","$4,698,263","$3,642,355","$3,273,730",1.11,"$368,625",14.28,41.79,2.38,42.25,74.50,7.04,58.14,78.47,9.69,73.95,14.50,12.32,46.48,7.75,"$3,391.04",$565.17,$10.31,$1.72,"$2,589.08",$431.51,$7.87,$1.31
AVANTI P180,PIAGGIO,Turboprop,Yes,1990,2005,1990-2005,Yes,19,34,1,"41,000","3,022",13.00,46.00,42.30,"25,295",5.91,6.10,14.92,537.9,60,4.7,955,354,6,"$1,105,000","$900,987",1.1,118,$0,"$1,403.88",0.0,0,$0,"$480,221","$1,263,492","$357,447","$1,743,713","$754,968","$5,083,855","$4,182,868","$3,299,515",1.27,"$883,354",14.36,42.07,2.39,53.23,96.90,8.87,69.48,94.15,11.58,80.65,15.82,13.44,54.99,9.16,"$3,874.92",$645.82,$10.95,$1.82,"$2,807.76",$467.96,$7.93,$1.32
MERLIN IIIA,FAIRCHILD,Turboprop,Yes,1975,1978,1975-1978,No,46,49,2,"31,000","4,972",16.91,46.30,42.20,"33,040",4.90,5.20,17.40,443.4,105,7.5,"1,409",260,6,"$396,000","$322,888",1.5,160,$0,"$1,322.64",0.0,0,$0,"$359,568","$1,190,376","$458,515","$1,549,944","$735,383","$4,146,028","$3,823,141","$4,232,448",0.90,"-$409,307",15.95,47.50,2.66,29.43,48.34,4.90,47.92,64.33,7.99,84.36,16.55,14.06,40.44,6.74,"$3,444.32",$574.05,$13.25,$2.21,"$2,645.28",$440.88,$10.17,$1.70
TWIN COMMANDER 690B RENAIS.,ROCKWELL,Turboprop,Yes,1977,2024,1977-2024,Yes,0,47,1,"31,000","3,686",15.00,46.60,44.40,"31,036",4.60,4.20,9.20,177.7,70,17.5,785,300,5,"$1,275,000","$1,039,600",1.3,139,$0,$989.42,0.0,0,$0,"$359,568","$890,478","$297,266","$1,250,046","$574,134","$4,381,069","$3,341,468","$2,743,991",1.22,"$597,477",14.60,42.90,2.92,55.81,102.15,11.16,72.52,98.36,14.50,57.80,11.31,11.56,54.84,10.97,"$2,777.88",$555.58,$9.26,$1.85,"$1,978.84",$395.77,$6.60,$1.32
LEARJET 35A,BOMBARDIER,Business Jet,Yes,1976,1992,1976-1992,No,32,48,2,"45,000","6,142",12.20,39.50,48.70,"23,469",4.40,4.92,12.92,279.7,40,8.4,"1,882",436,6,"$800,000","$652,298",0.9,95,$0,"$1,617.58",0.0,0,$0,"$483,994","$1,455,822","$334,399","$1,939,816","$688,393","$4,389,666","$3,737,368","$3,086,758",1.21,"$650,610",10.07,27.34,1.68,23.32,35.90,3.89,31.62,41.78,5.27,65.14,12.76,10.86,27.27,4.54,"$4,310.70",$718.45,$9.89,$1.65,"$3,235.16",$539.19,$7.42,$1.24
CITATION MUSTANG,CESSNA,Business Jet,Yes,2007,2017,2007-2017,Yes,7,17,1,"41,000","3,295",13.40,43.20,40.60,"23,503",4.60,4.70,9.91,214.3,63,11.0,736,340,4,"$1,857,000","$1,514,147",1.2,122,$0,$810.76,0.0,0,$0,"$356,266","$729,684","$214,931","$1,085,950","$441,197","$4,405,837","$2,891,690","$1,983,977",1.46,"$907,713",12.96,37.25,3.24,59.86,110.41,14.97,73.83,100.17,18.46,42.02,8.20,10.51,54.19,13.55,"$2,413.22",$603.31,$7.10,$1.77,"$1,621.52",$405.38,$4.77,$1.19
CONQUEST I,CESSNA,Turboprop,Yes,1983,1986,1983-1986,No,38,41,1,"30,000","3,997",12.60,44.00,35.90,"19,903",4.40,4.70,11.40,235.8,64,8.4,815,258,5,"$943,000","$768,896",1.6,161,$0,$762.26,0.0,0,$0,"$355,880","$686,034","$266,299","$1,041,914","$539,479","$3,814,496","$3,045,600","$2,458,141",1.24,"$587,459",14.78,43.52,2.96,46.80,83.78,9.36,63.65,86.09,12.73,45.08,8.80,9.02,47.44,9.49,"$2,315.36",$463.07,$8.97,$1.79,"$1,524.52",$304.90,$5.91,$1.18
CITATION II/IISP,CESSNA,Business Jet,Yes,1978,1994,1978-1994,No,30,46,2,"43,000","4,465",15.00,52.20,47.20,"36,958",4.80,4.91,15.90,374.7,77,9.9,"1,190",355,7,"$700,000","$570,761",1.1,117,$0,"$1,440.00",0.0,0,$0,"$483,781","$1,296,000","$365,611","$1,779,781","$719,392","$4,426,200","$3,855,440","$3,374,873",1.14,"$480,566",12.47,35.57,1.78,37.19,64.18,5.31,49.88,67.04,7.13,71.82,14.08,10.26,40.56,5.79,"$3,955.07",$565.01,$11.14,$1.59,"$2,880.00",$411.43,$8.11,$1.16
LEARJET 31A,BOMBARDIER,Business Jet,Yes,1991,2003,1991-2003,Yes,21,33,2,"51,000","3,705",12.30,43.80,48.70,"26,237",4.40,4.92,12.92,279.7,40,9.4,"1,181",441,6,"$1,000,000","$815,373",0.9,94,$0,"$1,441.60",0.0,0,$0,"$488,392","$1,297,440","$294,640","$1,785,832","$653,032","$4,449,787","$3,634,414","$2,719,753",1.34,"$914,661",10.09,27.42,1.68,37.68,65.17,6.28,46.29,62.08,7.72,58.18,11.39,9.70,36.73,6.12,"$3,968.52",$661.42,$9.00,$1.50,"$2,883.20",$480.53,$6.54,$1.09
LEARJET 31AER,BOMBARDIER,Business Jet,Yes,1991,2003,1991-2003,Yes,21,33,2,"51,000","3,705",12.30,43.80,48.70,"26,237",4.40,4.92,12.92,279.7,30,9.4,"1,443",441,6,"$1,000,000","$815,373",0.9,94,$0,"$1,442.10",0.0,0,$0,"$489,392","$1,297,890","$294,742","$1,787,282","$654,134","$4,455,298","$3,639,925","$2,720,697",1.34,"$919,229",10.10,27.46,1.68,30.88,51.30,5.15,39.38,52.51,6.56,58.28,11.41,9.71,31.96,5.33,"$3,971.74",$661.96,$9.01,$1.50,"$2,884.20",$480.70,$6.54,$1.09
TWIN COMMANDER 980,ROCKWELL,Turboprop,Yes,1980,1981,1980-1981,No,43,44,1,"31,000","3,900",15.00,46.60,44.40,"31,036",4.60,4.20,9.20,177.7,70,17.5,717,299,5,"$1,275,000","$1,039,600",1.3,139,$0,"$1,047.78",0.0,0,$0,"$361,568","$943,002","$315,853","$1,304,570","$594,721","$4,484,002","$3,444,402","$2,915,562",1.18,"$528,840",15.00,44.25,3.00,62.54,115.87,12.51,80.06,108.79,16.01,62.85,12.31,12.57,60.55,12.11,"$2,899.04",$579.81,$9.70,$1.94,"$2,095.56",$419.11,$7.01,$1.40
CHEYENNE IIIA,PIPER,Turboprop,Yes,1984,1991,1984-1991,No,33,40,1,"35,000","3,997",14.80,47.70,43.40,"30,639",4.40,4.20,18.10,334.5,58,9.2,845,291,6,"$980,000","$799,065",1.4,143,$0,"$1,229.48",0.0,0,$0,"$360,568","$1,106,532","$380,815","$1,467,100","$658,683","$4,454,349","$3,655,284","$3,515,214",1.04,"$140,070",15.31,45.31,2.55,52.71,95.84,8.79,70.57,95.66,11.76,75.28,14.76,12.55,55.21,9.20,"$3,260.22",$543.37,$11.20,$1.87,"$2,458.96",$409.83,$8.45,$1.41
CITATION SII,CESSNA,Business Jet,Yes,1984,1988,1984-1988,No,36,40,2,"43,000","4,046",15.00,52.20,47.20,"36,958",4.80,4.91,15.90,374.7,77,9.9,"1,394",386,7,"$985,000","$803,142",1.0,108,$0,"$1,403.28",0.0,0,$0,"$483,863","$1,262,952","$327,674","$1,746,815","$681,537","$4,574,545","$3,771,403","$3,024,686",1.25,"$746,716",11.85,33.46,1.69,32.82,55.25,4.69,44.36,59.40,6.34,66.52,13.03,9.50,36.21,5.17,"$3,881.81",$554.54,$10.06,$1.44,"$2,806.56",$400.94,$7.27,$1.04
CITATION CJ1,CESSNA,Business Jet,Yes,2000,2005,2000-2005,Yes,19,24,1,"41,000","4,114",13.80,46.80,42.60,"27,513",4.90,4.91,11.00,264.6,59,10.4,756,381,6,"$1,563,000","$1,274,428",1.0,109,$0,$888.90,0.0,0,$0,"$487,502","$800,010","$210,287","$1,287,512","$567,789","$4,690,520","$3,416,092","$1,941,115",1.76,"$1,474,977",12.31,35.03,2.05,62.04,114.86,10.34,74.95,101.72,12.49,43.77,8.54,7.30,55.13,9.19,"$2,861.14",$476.86,$7.51,$1.25,"$1,777.80",$296.30,$4.67,$0.78
M600,PIPER,Turboprop,No,2016,2024,2016-2024,Yes,0,8,1,"30,000","2,650",11.30,43.20,29.60,"14,450",3.92,4.10,12.30,197.7,20,7.3,"1,500",261,5,"$2,313,000","$1,885,957",1.5,159,$0,$476.42,0.0,0,$0,"$199,188","$428,778","$164,526","$627,966","$281,014","$4,145,114","$2,259,157","$1,518,703",1.49,"$740,454",15.88,47.28,3.18,27.63,44.69,5.53,45.98,61.65,9.20,30.27,5.88,6.05,33.76,6.75,"$1,395.48",$279.10,$5.35,$1.07,$952.84,$190.57,$3.65,$0.73
JETSTREAM S31/32,BAE,Turboprop,Yes,1982,1997,1982-1997,Yes,27,42,2,"25,000","4,000",17.50,52.00,47.20,"42,952",5.92,6.10,24.40,881.1,79,4.9,983,264,9,"$500,000","$407,686",1.5,158,$0,"$1,084.82",0.0,0,$0,"$491,058","$976,338","$370,373","$1,467,396","$778,731","$4,485,968","$4,078,282","$3,418,827",1.19,"$659,455",16.99,51.09,1.89,45.64,81.40,5.07,66.25,89.68,7.36,73.73,14.46,8.19,52.07,5.79,"$3,260.88",$362.32,$12.35,$1.37,"$2,169.64",$241.07,$8.22,$0.91
TWIN COMMANDER 840/900,ROCKWELL,Turboprop,Yes,1979,1985,1979-1985,No,39,45,1,"31,000","3,900",15.00,46.60,44.40,"31,036",4.60,4.20,9.20,177.7,70,17.5,853,276,5,"$1,166,000","$950,725",1.4,151,$0,$990.78,0.0,0,$0,"$361,568","$891,702","$323,559","$1,253,270","$602,427","$4,393,411","$3,442,686","$2,986,699",1.15,"$455,987",15.92,47.41,3.18,51.51,93.37,10.30,70.39,95.41,14.08,63.09,12.35,12.62,53.88,10.78,"$2,785.04",$557.01,$10.09,$2.02,"$1,981.56",$396.31,$7.18,$1.44
KING AIR E90,BEECH,Turboprop,Yes,1972,1981,1972-1981,No,43,52,1,"30,000","4,220",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,54,9.0,711,234,5,"$751,000","$612,345",1.7,178,$0,$795.28,0.0,0,$0,"$354,568","$715,752","$306,330","$1,070,320","$578,198","$3,780,645","$3,168,301","$2,827,662",1.12,"$340,638",16.16,48.23,3.23,53.17,96.77,10.63,72.50,98.33,14.50,51.40,10.05,10.28,54.19,10.84,"$2,378.49",$475.70,$10.16,$2.03,"$1,590.56",$318.11,$6.80,$1.36
M500,PIPER,Turboprop,No,2014,2024,2014-2024,Yes,0,10,1,"30,000","2,600",11.30,43.00,29.60,"14,383",3.92,4.10,12.30,197.7,20,7.3,950,246,5,"$2,164,000","$1,764,467",1.6,169,$0,$469.96,0.0,0,$0,"$199,188","$422,964","$172,191","$622,152","$288,679","$4,006,930","$2,242,463","$1,589,458",1.41,"$653,005",16.29,48.68,3.26,42.18,74.35,8.44,61.51,83.13,12.30,30.62,5.95,6.12,44.54,8.91,"$1,382.56",$276.51,$5.62,$1.12,$939.92,$187.98,$3.82,$0.76
CHEYENNE II,PIPER,Turboprop,Yes,1974,1983,1974-1983,No,41,50,1,"31,000","3,705",12.70,42.70,34.70,"18,817",4.40,4.20,10.92,201.8,42,9.3,702,260,5,"$690,000","$562,607",1.5,160,$0,"$1,227.04",0.0,0,$0,"$350,880","$1,104,336","$425,374","$1,455,216","$693,554","$4,285,162","$3,722,555","$3,926,528",0.95,"-$203,973",16.48,49.34,3.30,61.04,112.82,12.21,81.08,110.20,16.22,80.89,15.87,16.18,63.03,12.61,"$3,233.81",$646.76,$12.44,$2.49,"$2,454.08",$490.82,$9.44,$1.89
LEARJET 55,BOMBARDIER,Business Jet,Yes,1981,1990,1981-1990,No,34,43,2,"51,000","4,875",14.80,44.00,55.10,"35,881",5.90,5.92,16.80,586.8,60,6.1,"1,823",447,7,"$595,000","$485,147",0.9,93,$0,"$1,726.14",0.0,0,$0,"$585,179","$1,553,526","$348,060","$2,138,705","$803,239","$4,721,047","$4,235,901","$3,212,860",1.32,"$1,023,041",10.56,29.03,1.51,25.90,41.14,3.70,35.09,46.58,5.01,72.92,14.30,10.42,30.44,4.35,"$4,752.68",$678.95,$10.63,$1.52,"$3,452.28",$493.18,$7.72,$1.10
TWIN COMMANDER 690B,ROCKWELL,Turboprop,Yes,1977,1979,1977-1979,No,45,47,1,"31,000","3,558",15.00,46.60,44.40,"31,036",4.60,4.20,9.20,177.7,70,17.5,800,279,5,"$1,275,000","$1,039,600",1.4,149,$0,"$1,069.28",0.0,0,$0,"$359,568","$962,352","$345,440","$1,321,920","$622,308","$4,621,940","$3,582,340","$3,188,677",1.12,"$393,663",16.57,49.63,3.31,57.77,106.15,11.55,77.89,105.79,15.58,70.86,13.89,14.17,59.84,11.97,"$2,937.60",$587.52,$10.53,$2.11,"$2,138.56",$427.71,$7.67,$1.53
TBM-900,SOCATA,Turboprop,No,2014,2016,2014-2016,Yes,8,10,1,"31,000","3,000",14.30,42.10,35.20,"21,191",4.10,4.00,10.00,164.0,33,12.9,"1,274",318,5,"$3,200,000","$2,609,193",1.3,131,$0,$609.00,0.0,0,$0,"$210,188","$548,100","$172,614","$758,288","$300,102","$5,291,317","$2,682,124","$1,593,358",1.68,"$1,088,765",16.64,49.88,3.33,41.53,73.03,8.31,61.46,83.05,12.29,40.53,7.90,8.11,45.48,9.10,"$1,685.08",$337.02,$5.30,$1.06,"$1,218.00",$243.60,$3.83,$0.77
LEARJET 55C,BOMBARDIER,Business Jet,Yes,1981,1990,1981-1990,No,34,43,2,"51,000","5,655",14.80,44.00,55.10,"35,881",5.90,5.92,16.80,586.8,60,6.1,"1,823",447,7,"$595,000","$485,147",0.9,93,$0,"$1,726.14",0.0,0,$0,"$587,179","$1,553,526","$348,060","$2,140,705","$805,239","$4,731,047","$4,245,901","$3,212,860",1.32,"$1,033,041",10.58,29.11,1.51,25.95,41.25,3.71,35.18,46.71,5.03,73.08,14.33,10.44,30.52,4.36,"$4,757.12",$679.59,$10.64,$1.52,"$3,452.28",$493.18,$7.72,$1.10
CITATION JET,CESSNA,Business Jet,Yes,1993,1999,1993-1999,Yes,25,31,2,"41,000","3,909",13.70,46.80,42.60,"27,313",4.90,4.91,11.00,264.6,55,10.3,731,364,6,"$1,588,000","$1,294,812",1.1,114,$0,$885.92,0.0,0,$0,"$485,425","$797,328","$219,371","$1,282,753","$574,796","$4,755,166","$3,460,355","$2,024,960",1.71,"$1,435,395",13.06,37.62,2.18,65.05,120.99,10.84,79.30,107.74,13.22,46.29,9.04,7.72,58.39,9.73,"$2,850.56",$475.09,$7.83,$1.31,"$1,771.84",$295.31,$4.87,$0.81
PREMIER I,BEECH,Business Jet,Yes,2001,2005,2001-2005,Yes,19,23,1,"41,000","4,533",15.70,44.50,46.00,"32,138",5.40,5.60,13.70,414.3,78,7.8,829,426,7,"$1,749,000","$1,426,087",0.9,98,$0,"$1,133.92",0.0,0,$0,"$498,955","$1,020,528","$239,915","$1,519,483","$608,870","$5,116,265","$3,690,179","$2,214,604",1.67,"$1,475,574",12.01,34.00,1.72,61.72,114.19,8.82,74.10,100.54,10.59,54.47,10.66,7.78,55.60,7.94,"$3,376.63",$482.38,$7.93,$1.13,"$2,267.84",$323.98,$5.32,$0.76
HONDAJET,HONDA,Business Jet,Yes,2015,2018,2015-2018,Yes,6,9,1,"43,000","4,000",13.21,39.87,41.70,"21,963",4.91,5.00,17.91,439.7,66,5.0,792,422,5,"$2,800,000","$2,283,044",0.9,99,$0,$829.54,0.0,0,$0,"$333,744","$746,586","$177,178","$1,080,330","$380,922","$5,221,568","$2,938,524","$1,635,491",1.80,"$1,303,033",12.37,35.25,2.47,65.93,122.79,13.19,79.02,107.34,15.80,41.06,8.01,8.21,57.68,11.54,"$2,400.73",$480.15,$5.69,$1.14,"$1,659.08",$331.82,$3.93,$0.79
CHEYENNE III,PIPER,Turboprop,Yes,1978,1983,1978-1983,No,41,46,1,"35,000","4,065",14.80,47.70,43.40,"30,639",4.40,4.20,18.10,334.5,58,9.2,972,275,6,"$1,013,000","$825,973",1.5,151,$0,"$1,262.58",0.0,0,$0,"$359,568","$1,136,322","$413,820","$1,495,890","$690,688","$4,653,468","$3,827,496","$3,819,878",1.00,"$7,617",16.92,50.85,2.82,47.88,85.97,7.98,68.41,92.67,11.40,85.46,16.77,14.24,54.72,9.12,"$3,324.20",$554.03,$12.09,$2.01,"$2,525.16",$420.86,$9.18,$1.53
TBM-910,DAHER,Turboprop,No,2016,2024,2016-2024,Yes,0,8,1,"31,000","3,000",14.30,42.10,35.20,"21,191",4.10,4.00,10.00,164.0,33,12.9,"1,274",323,5,"$3,370,000","$2,747,806",1.2,129,$0,$609.00,0.0,0,$0,"$213,188","$548,100","$169,942","$761,288","$300,430","$5,494,343","$2,746,537","$1,568,693",1.75,"$1,177,843",17.01,51.15,3.40,43.13,76.28,8.63,63.72,86.18,12.74,41.44,8.08,8.29,47.13,9.43,"$1,691.75",$338.35,$5.24,$1.05,"$1,218.00",$243.60,$3.77,$0.75
SP,ASTRA/GULFSTREAM,Business Jet,Yes,1990,1995,1990-1995,Yes,29,34,2,"45,000","6,240",18.20,54.60,55.60,"55,251",5.70,4.90,17.10,477.6,64,11.6,"2,272",448,7,"$990,000","$807,219",0.9,93,$0,"$1,598.36",0.0,0,$0,"$618,844","$1,438,524","$321,575","$2,057,368","$810,419","$5,224,875","$4,417,656","$2,968,383",1.49,"$1,449,273",11.66,32.81,1.67,23.00,35.23,3.29,34.02,45.10,4.86,74.56,14.62,10.65,29.86,4.27,"$4,571.93",$653.13,$10.21,$1.46,"$3,196.72",$456.67,$7.14,$1.02
HAWKER 400XP,BAE,Business Jet,Yes,2004,2010,2004-2010,Yes,14,20,2,"45,000","4,485",13.90,43.50,48.40,"29,265",4.91,4.92,15.60,376.9,56,7.8,"1,151",450,8,"$1,606,000","$1,309,489",0.9,92,$0,"$1,484.72",0.0,0,$0,"$497,925","$1,336,248","$297,384","$1,834,173","$665,309","$5,229,056","$3,919,567","$2,745,082",1.43,"$1,174,485",11.62,32.66,1.45,45.43,80.98,5.68,56.82,76.64,7.10,69.01,13.52,8.63,45.08,5.64,"$4,075.94",$509.49,$9.06,$1.13,"$2,969.44",$371.18,$6.60,$0.82
TWIN COMMANDER 1000,ROCKWELL,Turboprop,Yes,1982,1985,1982-1985,No,39,42,1,"35,000","3,753",15.00,46.60,44.40,"31,036",4.90,4.20,12.70,261.4,60,11.9,"1,180",292,5,"$1,695,000","$1,382,057",1.4,142,$0,"$1,033.78",0.0,0,$0,"$361,568","$930,402","$319,103","$1,291,970","$597,971","$4,997,798","$3,615,741","$2,945,565",1.23,"$670,176",17.12,51.52,3.42,42.35,74.71,8.47,63.11,85.34,12.62,70.78,13.87,14.16,49.61,9.92,"$2,871.04",$574.21,$9.83,$1.97,"$2,067.56",$413.51,$7.08,$1.42
METRO III,FAIRCHILD,Turboprop,Yes,1981,1993,1981-1993,No,31,43,2,"31,000","5,362",16.80,57.00,59.40,"56,881",4.90,5.20,33.10,843.4,181,6.7,"1,141",265,19,"$607,000","$494,931",1.5,157,$0,"$1,302.78",0.0,0,$0,"$468,746","$1,172,502","$443,109","$1,641,248","$829,155","$4,864,844","$4,369,913","$4,090,238",1.07,"$279,675",18.36,55.78,0.97,42.64,75.28,2.24,65.53,88.69,3.45,95.67,18.79,5.04,53.74,2.83,"$3,647.22",$191.96,$13.76,$0.72,"$2,605.56",$137.13,$9.83,$0.52
MERLIN/METRO 23,FAIRCHILD,Turboprop,Yes,1992,2000,1992-2000,Yes,24,32,2,"31,000","5,000",16.80,57.00,59.40,"56,881",4.90,5.20,33.10,843.4,180,6.7,521,295,19,"$1,035,000","$843,911",1.4,141,$0,"$1,128.46",0.0,0,$0,"$468,746","$1,015,614","$344,786","$1,484,360","$730,832","$4,880,249","$4,036,338","$3,182,640",1.27,"$853,699",16.54,49.55,0.87,93.67,179.36,4.93,114.46,156.37,6.02,74.67,14.64,3.93,85.51,4.50,"$3,298.58",$173.61,$11.18,$0.59,"$2,256.92",$118.79,$7.65,$0.40
